doc,Page,Ycord_first,Xcord_first,font_size,font_name,Object,Textbox,word,special_char
001_sd.pdf,1,768.29,479.5,10,CAAAAA+ArialMT,1,1,Seite,0
001_sd.pdf,1,768.29,504.8,10,CAAAAA+ArialMT,1,1,1,0
001_sd.pdf,1,768.29,513.09,10,CAAAAA+ArialMT,1,1,von,0
001_sd.pdf,1,768.29,531.8,10,CAAAAA+ArialMT,1,1,6,0
001_sd.pdf,1,767.446,58.3,14,BAAAAA+Arial-BoldMT,2,1,Sicherheitsdatenblatt,0
001_sd.pdf,1,767.446,204.74,14,BAAAAA+Arial-BoldMT,2,1,gemäß,0
001_sd.pdf,1,767.446,253.68400000000003,14,BAAAAA+Arial-BoldMT,2,1,EU-Verordnung,0
001_sd.pdf,1,767.446,360.28000000000014,14,BAAAAA+Arial-BoldMT,2,1,2015/830,0
001_sd.pdf,1,748.001,64.4,9,CAAAAA+ArialMT,2,2,Ausstellungsdatum,0
001_sd.pdf,1,748.001,140.94500000000002,9,CAAAAA+ArialMT,2,2,:,1
001_sd.pdf,1,748.001,146.03000000000003,9,CAAAAA+ArialMT,2,2,10.11.2017,0
001_sd.pdf,1,748.001,193.22600000000006,9,CAAAAA+ArialMT,2,2,Ersatz,0
001_sd.pdf,1,748.001,221.20700000000005,9,CAAAAA+ArialMT,2,2,für,0
001_sd.pdf,1,748.001,234.29300000000003,9,CAAAAA+ArialMT,2,2,das,0
001_sd.pdf,1,748.001,251.47400000000002,9,CAAAAA+ArialMT,2,2,Datenblatt,0
001_sd.pdf,1,748.001,295.24099999999993,9,CAAAAA+ArialMT,2,2,von,0
001_sd.pdf,1,748.001,309.7489999999999,9,CAAAAA+ArialMT,2,2,:,1
001_sd.pdf,1,748.001,314.7349999999999,9,CAAAAA+ArialMT,2,2,20.11.2015,0
001_sd.pdf,1,737.801,64.4,9,CAAAAA+ArialMT,2,3,"""*""",0
001_sd.pdf,1,737.801,76.88300000000001,9,CAAAAA+ArialMT,2,3,Änderungen,0
001_sd.pdf,1,737.801,128.669,9,CAAAAA+ArialMT,2,3,gegenüber,0
001_sd.pdf,1,737.801,174.46100000000007,9,CAAAAA+ArialMT,2,3,Vorläufer,0
001_sd.pdf,1,737.801,210.23600000000005,9,CAAAAA+ArialMT,2,3,",",1
001_sd.pdf,1,737.801,215.22200000000004,9,CAAAAA+ArialMT,2,3,n.a,0
001_sd.pdf,1,737.801,227.822,9,CAAAAA+ArialMT,2,3,.,1
001_sd.pdf,1,737.801,232.90699999999998,9,CAAAAA+ArialMT,2,3,=,0
001_sd.pdf,1,737.801,240.69199999999995,9,CAAAAA+ArialMT,2,3,nicht,0
001_sd.pdf,1,737.801,262.37299999999993,9,CAAAAA+ArialMT,2,3,anwendbar,0
001_sd.pdf,1,737.801,306.47299999999984,9,CAAAAA+ArialMT,2,3,",",1
001_sd.pdf,1,737.801,311.5579999999998,9,CAAAAA+ArialMT,2,3,n.v,0
001_sd.pdf,1,737.801,322.85299999999984,9,CAAAAA+ArialMT,2,3,.,1
001_sd.pdf,1,737.801,327.8389999999998,9,CAAAAA+ArialMT,2,3,=,0
001_sd.pdf,1,737.801,335.6239999999998,9,CAAAAA+ArialMT,2,3,nicht,0
001_sd.pdf,1,737.801,357.2959999999998,9,CAAAAA+ArialMT,2,3,verfügbar,0
001_sd.pdf,1,718.99,59.3,10,BAAAAA+Arial-BoldMT,2,4,ABSCHNITT,0
001_sd.pdf,1,718.99,119.55000000000001,10,BAAAAA+Arial-BoldMT,2,4,1,0
001_sd.pdf,1,718.99,125.05000000000001,10,BAAAAA+Arial-BoldMT,2,4,:,1
001_sd.pdf,1,718.99,131.14,10,BAAAAA+Arial-BoldMT,2,4,Bezeichnung,0
001_sd.pdf,1,718.99,196.0,10,BAAAAA+Arial-BoldMT,2,4,des,0
001_sd.pdf,1,718.99,215.89000000000004,10,BAAAAA+Arial-BoldMT,2,4,Stoffs,0
001_sd.pdf,1,718.99,246.9600000000001,10,BAAAAA+Arial-BoldMT,2,4,bzw,0
001_sd.pdf,1,718.99,265.6600000000001,10,BAAAAA+Arial-BoldMT,2,4,.,1
001_sd.pdf,1,718.99,271.2400000000001,10,BAAAAA+Arial-BoldMT,2,4,des,0
001_sd.pdf,1,718.99,291.1200000000002,10,BAAAAA+Arial-BoldMT,2,4,Gemischs,0
001_sd.pdf,1,718.99,341.48000000000013,10,BAAAAA+Arial-BoldMT,2,4,und,0
001_sd.pdf,1,718.99,362.57000000000016,10,BAAAAA+Arial-BoldMT,2,4,des,0
001_sd.pdf,1,718.99,382.46000000000015,10,BAAAAA+Arial-BoldMT,2,4,Unternehmens,0
001_sd.pdf,1,707.601,58.3,9,CAAAAA+ArialMT,2,5,1.1,0
001_sd.pdf,1,707.301,95.0,9,BAAAAA+Arial-BoldMT,4,1,Produktidentifikator,0
001_sd.pdf,1,696.501,95.0,9,BAAAAA+Arial-BoldMT,4,2,Handelsname,0
001_sd.pdf,1,696.501,153.671,9,BAAAAA+Arial-BoldMT,4,2,:,1
001_sd.pdf,1,696.501,254.2,9,BAAAAA+Arial-BoldMT,3,1,Premium,0
001_sd.pdf,1,696.501,295.35699999999997,9,BAAAAA+Arial-BoldMT,3,1,KoiStabil,0
001_sd.pdf,1,686.001,254.2,9,CAAAAA+ArialMT,3,2,n.v,0
001_sd.pdf,1,686.001,265.495,9,CAAAAA+ArialMT,3,2,.,1
001_sd.pdf,1,685.701,95.0,9,BAAAAA+Arial-BoldMT,4,3,Artikel,0
001_sd.pdf,1,685.701,125.474,9,BAAAAA+Arial-BoldMT,4,3,-,0
001_sd.pdf,1,685.701,130.964,9,BAAAAA+Arial-BoldMT,4,3,Nr,0
001_sd.pdf,1,685.701,140.459,9,BAAAAA+Arial-BoldMT,4,3,.,1
001_sd.pdf,1,685.701,142.862,9,BAAAAA+Arial-BoldMT,4,3,:,1
001_sd.pdf,1,675.201,254.2,9,CAAAAA+ArialMT,3,3,n.v,0
001_sd.pdf,1,675.201,265.495,9,CAAAAA+ArialMT,3,3,.,1
001_sd.pdf,1,674.901,95.0,9,BAAAAA+Arial-BoldMT,4,4,Rezeptur,0
001_sd.pdf,1,674.901,136.067,9,BAAAAA+Arial-BoldMT,4,4,-,0
001_sd.pdf,1,674.901,141.656,9,BAAAAA+Arial-BoldMT,4,4,Nr,0
001_sd.pdf,1,674.901,151.052,9,BAAAAA+Arial-BoldMT,4,4,.,1
001_sd.pdf,1,674.901,153.54500000000002,9,BAAAAA+Arial-BoldMT,4,4,:,1
001_sd.pdf,1,664.401,254.2,9,CAAAAA+ArialMT,3,4,n.a,0
001_sd.pdf,1,664.401,266.8,9,CAAAAA+ArialMT,3,4,.,1
001_sd.pdf,1,664.101,95.0,9,BAAAAA+Arial-BoldMT,4,5,Registriernummer,0
001_sd.pdf,1,664.101,172.661,9,BAAAAA+Arial-BoldMT,4,5,:,1
001_sd.pdf,1,651.201,58.3,9,CAAAAA+ArialMT,6,1,1.2,0
001_sd.pdf,1,650.901,95.0,9,BAAAAA+Arial-BoldMT,4,6,Relevante,0
001_sd.pdf,1,650.901,140.08100000000002,9,BAAAAA+Arial-BoldMT,4,6,identifizierte,0
001_sd.pdf,1,650.901,195.8,9,BAAAAA+Arial-BoldMT,4,6,Verwendungen,0
001_sd.pdf,1,650.901,262.733,9,BAAAAA+Arial-BoldMT,4,6,des,0
001_sd.pdf,1,650.901,280.81399999999996,9,BAAAAA+Arial-BoldMT,4,6,Stoffs,0
001_sd.pdf,1,650.901,308.885,9,BAAAAA+Arial-BoldMT,4,6,oder,0
001_sd.pdf,1,650.901,330.86300000000006,9,BAAAAA+Arial-BoldMT,4,6,Gemischs,0
001_sd.pdf,1,650.901,376.6460000000001,9,BAAAAA+Arial-BoldMT,4,6,und,0
001_sd.pdf,1,650.901,395.6090000000001,9,BAAAAA+Arial-BoldMT,4,6,Verwendungen,0
001_sd.pdf,1,650.901,459.9500000000002,9,BAAAAA+Arial-BoldMT,4,6,",",1
001_sd.pdf,1,650.901,465.0350000000002,9,BAAAAA+Arial-BoldMT,4,6,von,0
001_sd.pdf,1,650.901,483.5120000000002,9,BAAAAA+Arial-BoldMT,4,6,denen,0
001_sd.pdf,1,640.101,95.0,9,BAAAAA+Arial-BoldMT,4,7,abgeraten,0
001_sd.pdf,1,640.101,140.666,9,BAAAAA+Arial-BoldMT,4,7,wird,0
001_sd.pdf,1,629.601,95.0,9,CAAAAA+ArialMT,4,8,Identifizierte,0
001_sd.pdf,1,629.601,146.264,9,CAAAAA+ArialMT,4,8,Verwendungen,0
001_sd.pdf,1,629.601,206.45600000000007,9,CAAAAA+ArialMT,4,8,:,1
001_sd.pdf,1,629.601,211.54100000000005,9,CAAAAA+ArialMT,4,8,Gartenteichbedarf,0
001_sd.pdf,1,619.401,58.3,9,CAAAAA+ArialMT,7,1,1.3,0
001_sd.pdf,1,619.101,95.0,9,BAAAAA+Arial-BoldMT,4,9,Einzelheiten,0
001_sd.pdf,1,619.101,150.22400000000002,9,BAAAAA+Arial-BoldMT,4,9,zum,0
001_sd.pdf,1,619.101,170.80700000000002,9,BAAAAA+Arial-BoldMT,4,9,Lieferanten,0
