,doc,Page,Ycord_first,Xcord_first,font_size,font_name,Object,Textbox,word,special_char,ycord_average
0,001_sd.pdf,1,767.446,58.3,14,BAAAAA+Arial-BoldMT,2,1,Sicherheitsdatenblatt,0,767.868
1,001_sd.pdf,1,767.446,204.74,14,BAAAAA+Arial-BoldMT,2,1,gemäß,0,767.868
2,001_sd.pdf,1,767.446,253.68400000000003,14,BAAAAA+Arial-BoldMT,2,1,EU-Verordnung,0,767.868
3,001_sd.pdf,1,767.446,360.28000000000014,14,BAAAAA+Arial-BoldMT,2,1,2015/830,0,767.868
4,001_sd.pdf,1,768.29,479.5,10,CAAAAA+ArialMT,1,1,Seite,0,767.868
5,001_sd.pdf,1,768.29,504.8,10,CAAAAA+ArialMT,1,1,1,0,767.868
6,001_sd.pdf,1,768.29,513.09,10,CAAAAA+ArialMT,1,1,von,0,767.868
7,001_sd.pdf,1,768.29,531.8,10,CAAAAA+ArialMT,1,1,6,0,767.868
8,001_sd.pdf,1,748.001,64.4,9,CAAAAA+ArialMT,2,2,Ausstellungsdatum,0,748.001
9,001_sd.pdf,1,748.001,140.94500000000002,9,CAAAAA+ArialMT,2,2,:,1,748.001
10,001_sd.pdf,1,748.001,146.03000000000003,9,CAAAAA+ArialMT,2,2,10.11.2017,0,748.001
11,001_sd.pdf,1,748.001,193.22600000000006,9,CAAAAA+ArialMT,2,2,Ersatz,0,748.001
12,001_sd.pdf,1,748.001,221.20700000000005,9,CAAAAA+ArialMT,2,2,für,0,748.001
13,001_sd.pdf,1,748.001,234.29300000000003,9,CAAAAA+ArialMT,2,2,das,0,748.001
14,001_sd.pdf,1,748.001,251.47400000000002,9,CAAAAA+ArialMT,2,2,Datenblatt,0,748.001
15,001_sd.pdf,1,748.001,295.24099999999993,9,CAAAAA+ArialMT,2,2,von,0,748.001
16,001_sd.pdf,1,748.001,309.7489999999999,9,CAAAAA+ArialMT,2,2,:,1,748.001
17,001_sd.pdf,1,748.001,314.7349999999999,9,CAAAAA+ArialMT,2,2,20.11.2015,0,748.001
18,001_sd.pdf,1,737.801,64.4,9,CAAAAA+ArialMT,2,3,"""*""",1,737.801
19,001_sd.pdf,1,737.801,76.88300000000001,9,CAAAAA+ArialMT,2,3,Änderungen,0,737.801
20,001_sd.pdf,1,737.801,128.669,9,CAAAAA+ArialMT,2,3,gegenüber,0,737.801
21,001_sd.pdf,1,737.801,174.46100000000007,9,CAAAAA+ArialMT,2,3,Vorläufer,0,737.801
22,001_sd.pdf,1,737.801,210.23600000000005,9,CAAAAA+ArialMT,2,3,",",1,737.801
23,001_sd.pdf,1,737.801,215.22200000000004,9,CAAAAA+ArialMT,2,3,n.a,0,737.801
24,001_sd.pdf,1,737.801,227.822,9,CAAAAA+ArialMT,2,3,.,1,737.801
25,001_sd.pdf,1,737.801,232.90699999999998,9,CAAAAA+ArialMT,2,3,=,1,737.801
26,001_sd.pdf,1,737.801,240.69199999999995,9,CAAAAA+ArialMT,2,3,nicht,0,737.801
27,001_sd.pdf,1,737.801,262.37299999999993,9,CAAAAA+ArialMT,2,3,anwendbar,0,737.801
28,001_sd.pdf,1,737.801,306.47299999999984,9,CAAAAA+ArialMT,2,3,",",1,737.801
29,001_sd.pdf,1,737.801,311.5579999999998,9,CAAAAA+ArialMT,2,3,n.v,0,737.801
30,001_sd.pdf,1,737.801,322.85299999999984,9,CAAAAA+ArialMT,2,3,.,1,737.801
31,001_sd.pdf,1,737.801,327.8389999999998,9,CAAAAA+ArialMT,2,3,=,1,737.801
32,001_sd.pdf,1,737.801,335.6239999999998,9,CAAAAA+ArialMT,2,3,nicht,0,737.801
33,001_sd.pdf,1,737.801,357.2959999999998,9,CAAAAA+ArialMT,2,3,verfügbar,0,737.801
34,001_sd.pdf,1,718.99,59.3,10,BAAAAA+Arial-BoldMT,2,4,ABSCHNITT,0,718.99
35,001_sd.pdf,1,718.99,119.55000000000001,10,BAAAAA+Arial-BoldMT,2,4,1,0,718.99
36,001_sd.pdf,1,718.99,125.05000000000001,10,BAAAAA+Arial-BoldMT,2,4,:,1,718.99
37,001_sd.pdf,1,718.99,131.14,10,BAAAAA+Arial-BoldMT,2,4,Bezeichnung,0,718.99
38,001_sd.pdf,1,718.99,196.0,10,BAAAAA+Arial-BoldMT,2,4,des,0,718.99
39,001_sd.pdf,1,718.99,215.89000000000004,10,BAAAAA+Arial-BoldMT,2,4,Stoffs,0,718.99
40,001_sd.pdf,1,718.99,246.9600000000001,10,BAAAAA+Arial-BoldMT,2,4,bzw,0,718.99
41,001_sd.pdf,1,718.99,265.6600000000001,10,BAAAAA+Arial-BoldMT,2,4,.,1,718.99
42,001_sd.pdf,1,718.99,271.2400000000001,10,BAAAAA+Arial-BoldMT,2,4,des,0,718.99
43,001_sd.pdf,1,718.99,291.1200000000002,10,BAAAAA+Arial-BoldMT,2,4,Gemischs,0,718.99
44,001_sd.pdf,1,718.99,341.48000000000013,10,BAAAAA+Arial-BoldMT,2,4,und,0,718.99
45,001_sd.pdf,1,718.99,362.57000000000016,10,BAAAAA+Arial-BoldMT,2,4,des,0,718.99
46,001_sd.pdf,1,718.99,382.46000000000015,10,BAAAAA+Arial-BoldMT,2,4,Unternehmens,0,718.99
47,001_sd.pdf,1,707.601,58.3,9,CAAAAA+ArialMT,2,5,1.1,0,707.451
48,001_sd.pdf,1,707.301,95.0,9,BAAAAA+Arial-BoldMT,4,1,Produktidentifikator,0,707.451
49,001_sd.pdf,1,696.501,95.0,9,BAAAAA+Arial-BoldMT,4,2,Handelsname,0,696.501
50,001_sd.pdf,1,696.501,153.671,9,BAAAAA+Arial-BoldMT,4,2,:,1,696.501
51,001_sd.pdf,1,696.501,254.2,9,BAAAAA+Arial-BoldMT,3,1,Premium,0,696.501
52,001_sd.pdf,1,696.501,295.35699999999997,9,BAAAAA+Arial-BoldMT,3,1,KoiStabil,0,696.501
53,001_sd.pdf,1,685.701,95.0,9,BAAAAA+Arial-BoldMT,4,3,Artikel,0,685.7867142857143
54,001_sd.pdf,1,685.701,125.474,9,BAAAAA+Arial-BoldMT,4,3,-,1,685.7867142857143
55,001_sd.pdf,1,685.701,130.964,9,BAAAAA+Arial-BoldMT,4,3,Nr,0,685.7867142857143
56,001_sd.pdf,1,685.701,140.459,9,BAAAAA+Arial-BoldMT,4,3,.,1,685.7867142857143
57,001_sd.pdf,1,685.701,142.862,9,BAAAAA+Arial-BoldMT,4,3,:,1,685.7867142857143
58,001_sd.pdf,1,686.001,254.2,9,CAAAAA+ArialMT,3,2,n.v,0,685.7867142857143
59,001_sd.pdf,1,686.001,265.495,9,CAAAAA+ArialMT,3,2,.,1,685.7867142857143
60,001_sd.pdf,1,674.901,95.0,9,BAAAAA+Arial-BoldMT,4,4,Rezeptur,0,674.9867142857142
61,001_sd.pdf,1,674.901,136.067,9,BAAAAA+Arial-BoldMT,4,4,-,1,674.9867142857142
62,001_sd.pdf,1,674.901,141.656,9,BAAAAA+Arial-BoldMT,4,4,Nr,0,674.9867142857142
63,001_sd.pdf,1,674.901,151.052,9,BAAAAA+Arial-BoldMT,4,4,.,1,674.9867142857142
64,001_sd.pdf,1,674.901,153.54500000000002,9,BAAAAA+Arial-BoldMT,4,4,:,1,674.9867142857142
65,001_sd.pdf,1,675.201,254.2,9,CAAAAA+ArialMT,3,3,n.v,0,674.9867142857142
66,001_sd.pdf,1,675.201,265.495,9,CAAAAA+ArialMT,3,3,.,1,674.9867142857142
67,001_sd.pdf,1,664.101,95.0,9,BAAAAA+Arial-BoldMT,4,5,Registriernummer,0,664.251
68,001_sd.pdf,1,664.101,172.661,9,BAAAAA+Arial-BoldMT,4,5,:,1,664.251
69,001_sd.pdf,1,664.401,254.2,9,CAAAAA+ArialMT,3,4,n.a,0,664.251
70,001_sd.pdf,1,664.401,266.8,9,CAAAAA+ArialMT,3,4,.,1,664.251
71,001_sd.pdf,1,651.201,58.3,9,CAAAAA+ArialMT,6,1,1.2,0,650.9240769230769
72,001_sd.pdf,1,650.901,95.0,9,BAAAAA+Arial-BoldMT,4,6,Relevante,0,650.9240769230769
73,001_sd.pdf,1,650.901,140.08100000000002,9,BAAAAA+Arial-BoldMT,4,6,identifizierte,0,650.9240769230769
74,001_sd.pdf,1,650.901,195.8,9,BAAAAA+Arial-BoldMT,4,6,Verwendungen,0,650.9240769230769
75,001_sd.pdf,1,650.901,262.733,9,BAAAAA+Arial-BoldMT,4,6,des,0,650.9240769230769
76,001_sd.pdf,1,650.901,280.81399999999996,9,BAAAAA+Arial-BoldMT,4,6,Stoffs,0,650.9240769230769
77,001_sd.pdf,1,650.901,308.885,9,BAAAAA+Arial-BoldMT,4,6,oder,0,650.9240769230769
78,001_sd.pdf,1,650.901,330.86300000000006,9,BAAAAA+Arial-BoldMT,4,6,Gemischs,0,650.9240769230769
79,001_sd.pdf,1,650.901,376.6460000000001,9,BAAAAA+Arial-BoldMT,4,6,und,0,650.9240769230769
80,001_sd.pdf,1,650.901,395.6090000000001,9,BAAAAA+Arial-BoldMT,4,6,Verwendungen,0,650.9240769230769
81,001_sd.pdf,1,650.901,459.9500000000002,9,BAAAAA+Arial-BoldMT,4,6,",",1,650.9240769230769
82,001_sd.pdf,1,650.901,465.0350000000002,9,BAAAAA+Arial-BoldMT,4,6,von,0,650.9240769230769
83,001_sd.pdf,1,650.901,483.5120000000002,9,BAAAAA+Arial-BoldMT,4,6,denen,0,650.9240769230769
84,001_sd.pdf,1,640.101,95.0,9,BAAAAA+Arial-BoldMT,4,7,abgeraten,0,640.101
85,001_sd.pdf,1,640.101,140.666,9,BAAAAA+Arial-BoldMT,4,7,wird,0,640.101
86,001_sd.pdf,1,629.601,95.0,9,CAAAAA+ArialMT,4,8,Identifizierte,0,629.601
87,001_sd.pdf,1,629.601,146.264,9,CAAAAA+ArialMT,4,8,Verwendungen,0,629.601
88,001_sd.pdf,1,629.601,206.45600000000007,9,CAAAAA+ArialMT,4,8,:,1,629.601
89,001_sd.pdf,1,629.601,211.54100000000005,9,CAAAAA+ArialMT,4,8,Gartenteichbedarf,0,629.601
90,001_sd.pdf,1,619.401,58.3,9,CAAAAA+ArialMT,7,1,1.3,0,619.1343333333333
91,001_sd.pdf,1,619.101,95.0,9,BAAAAA+Arial-BoldMT,4,9,Einzelheiten,0,619.1343333333333
92,001_sd.pdf,1,619.101,150.22400000000002,9,BAAAAA+Arial-BoldMT,4,9,zum,0,619.1343333333333
93,001_sd.pdf,1,619.101,170.80700000000002,9,BAAAAA+Arial-BoldMT,4,9,Lieferanten,0,619.1343333333333
94,001_sd.pdf,1,619.101,219.47000000000003,9,BAAAAA+Arial-BoldMT,4,9,",",1,619.1343333333333
95,001_sd.pdf,1,619.101,224.55500000000004,9,BAAAAA+Arial-BoldMT,4,9,der,0,619.1343333333333
96,001_sd.pdf,1,619.101,241.14200000000002,9,BAAAAA+Arial-BoldMT,4,9,das,0,619.1343333333333
97,001_sd.pdf,1,619.101,259.223,9,BAAAAA+Arial-BoldMT,4,9,Sicherheitsdatenblatt,0,619.1343333333333
98,001_sd.pdf,1,619.101,353.52500000000003,9,BAAAAA+Arial-BoldMT,4,9,bereitstellt,0,619.1343333333333
99,001_sd.pdf,1,608.601,58.3,9,CAAAAA+ArialMT,7,2,1.3.1,0,608.3438571428572
100,001_sd.pdf,1,608.301,95.0,9,BAAAAA+Arial-BoldMT,4,10,Anschrift,0,608.3438571428572
101,001_sd.pdf,1,608.301,136.949,9,BAAAAA+Arial-BoldMT,4,10,des,0,608.3438571428572
102,001_sd.pdf,1,608.301,155.03,9,BAAAAA+Arial-BoldMT,4,10,Herstellers,0,608.3438571428572
103,001_sd.pdf,1,608.301,204.21500000000003,9,BAAAAA+Arial-BoldMT,4,10,/,1,608.3438571428572
104,001_sd.pdf,1,608.301,209.20100000000002,9,BAAAAA+Arial-BoldMT,4,10,Lieferanten,0,608.3438571428572
105,001_sd.pdf,1,608.301,257.86400000000003,9,BAAAAA+Arial-BoldMT,4,10,:,1,608.3438571428572
106,001_sd.pdf,1,597.801,95.0,9,CAAAAA+ArialMT,4,11,Söll,0,597.801
107,001_sd.pdf,1,597.801,112.577,9,CAAAAA+ArialMT,4,11,GmbH,0,597.801
108,001_sd.pdf,1,597.801,138.659,9,CAAAAA+ArialMT,4,11,",",1,597.801
109,001_sd.pdf,1,597.801,143.645,9,CAAAAA+ArialMT,4,11,Fuhrmannstr,0,597.801
110,001_sd.pdf,1,597.801,194.41400000000002,9,CAAAAA+ArialMT,4,11,.,1,597.801
111,001_sd.pdf,1,597.801,199.49900000000002,9,CAAAAA+ArialMT,4,11,"6,",0,597.801
112,001_sd.pdf,1,597.801,209.58800000000002,9,CAAAAA+ArialMT,4,11,D-,0,597.801
113,001_sd.pdf,1,597.801,221.57600000000002,9,CAAAAA+ArialMT,4,11,95030,0,597.801
114,001_sd.pdf,1,597.801,249.26899999999998,9,CAAAAA+ArialMT,4,11,Hof,0,597.801
115,001_sd.pdf,1,587.601,95.0,9,CAAAAA+ArialMT,4,12,Telefon,0,587.601
116,001_sd.pdf,1,587.601,124.10600000000001,9,CAAAAA+ArialMT,4,12,:,1,587.601
117,001_sd.pdf,1,587.601,129.191,9,CAAAAA+ArialMT,4,12,+49,0,587.601
118,001_sd.pdf,1,587.601,147.083,9,CAAAAA+ArialMT,4,12,-,1,587.601
119,001_sd.pdf,1,587.601,152.573,9,CAAAAA+ArialMT,4,12,9281-72850,0,587.601
120,001_sd.pdf,1,587.601,200.87600000000003,9,CAAAAA+ArialMT,4,12,",",1,587.601
121,001_sd.pdf,1,587.601,205.87100000000004,9,CAAAAA+ArialMT,4,12,Telefax,0,587.601
122,001_sd.pdf,1,587.601,234.24800000000002,9,CAAAAA+ArialMT,4,12,:,1,587.601
123,001_sd.pdf,1,587.601,239.234,9,CAAAAA+ArialMT,4,12,+49,0,587.601
124,001_sd.pdf,1,587.601,257.11699999999996,9,CAAAAA+ArialMT,4,12,–,1,587.601
125,001_sd.pdf,1,587.601,264.70399999999995,9,CAAAAA+ArialMT,4,12,9281-1011,0,587.601
126,001_sd.pdf,1,587.601,307.2109999999999,9,CAAAAA+ArialMT,4,12,",",1,587.601
127,001_sd.pdf,1,587.601,312.2959999999999,9,CAAAAA+ArialMT,4,12,E-Mail,0,587.601
128,001_sd.pdf,1,587.601,337.68499999999983,9,CAAAAA+ArialMT,4,12,:,1,587.601
129,001_sd.pdf,1,587.601,342.76999999999987,9,CAAAAA+ArialMT,4,12,info@soelltec.de,0,587.601
130,001_sd.pdf,1,577.401,58.3,9,CAAAAA+ArialMT,8,1,1.3.2,0,577.1510000000001
131,001_sd.pdf,1,577.101,95.0,9,BAAAAA+Arial-BoldMT,4,13,Verantwortlich,0,577.1510000000001
132,001_sd.pdf,1,577.101,159.845,9,BAAAAA+Arial-BoldMT,4,13,für,0,577.1510000000001
133,001_sd.pdf,1,577.101,174.326,9,BAAAAA+Arial-BoldMT,4,13,das,0,577.1510000000001
134,001_sd.pdf,1,577.101,192.40699999999998,9,BAAAAA+Arial-BoldMT,4,13,Datenblatt,0,577.1510000000001
135,001_sd.pdf,1,577.101,236.47100000000003,9,BAAAAA+Arial-BoldMT,4,13,:,1,577.1510000000001
136,001_sd.pdf,1,566.601,95.0,9,CAAAAA+ArialMT,4,14,CoSiChem,0,566.601
137,001_sd.pdf,1,566.601,140.693,9,CAAAAA+ArialMT,4,14,AG,0,566.601
138,001_sd.pdf,1,566.601,153.68,9,CAAAAA+ArialMT,4,14,",",1,566.601
139,001_sd.pdf,1,566.601,158.666,9,CAAAAA+ArialMT,4,14,Ernst-Lemmer-Straße,0,566.601
140,001_sd.pdf,1,566.601,248.57600000000005,9,CAAAAA+ArialMT,4,14,"23,",0,566.601
141,001_sd.pdf,1,566.601,263.669,9,CAAAAA+ArialMT,4,14,D,0,566.601
142,001_sd.pdf,1,566.601,272.65999999999997,9,CAAAAA+ArialMT,4,14,-,1,566.601
143,001_sd.pdf,1,566.601,278.15,9,CAAAAA+ArialMT,4,14,35041,0,566.601
144,001_sd.pdf,1,566.601,305.94199999999995,9,CAAAAA+ArialMT,4,14,Marburg,0,566.601
145,001_sd.pdf,1,566.601,339.332,9,CAAAAA+ArialMT,4,14,",",1,566.601
146,001_sd.pdf,1,566.601,344.4169999999999,9,CAAAAA+ArialMT,4,14,info@cosichem.de,0,566.601
147,001_sd.pdf,1,556.401,58.3,9,CAAAAA+ArialMT,9,1,1.4,0,556.251
148,001_sd.pdf,1,556.101,95.0,9,BAAAAA+Arial-BoldMT,4,15,Notrufnummer,0,556.251
149,001_sd.pdf,1,545.601,95.0,9,CAAAAA+ArialMT,4,16,Notfall,0,545.601
150,001_sd.pdf,1,545.601,123.17,9,CAAAAA+ArialMT,4,16,-,1,545.601
151,001_sd.pdf,1,545.601,128.57,9,CAAAAA+ArialMT,4,16,Telefon,0,545.601
152,001_sd.pdf,1,545.601,160.26799999999997,9,CAAAAA+ArialMT,4,16,des,0,545.601
153,001_sd.pdf,1,545.601,177.35899999999998,9,CAAAAA+ArialMT,4,16,Herstellers,0,545.601
154,001_sd.pdf,1,545.601,223.21400000000003,9,CAAAAA+ArialMT,4,16,/,1,545.601
155,001_sd.pdf,1,545.601,228.20000000000002,9,CAAAAA+ArialMT,4,16,Lieferanten,0,545.601
156,001_sd.pdf,1,545.601,316.2,9,CAAAAA+ArialMT,5,1,Beratungsstelle,0,545.601
157,001_sd.pdf,1,545.601,381.252,9,CAAAAA+ArialMT,5,1,für,0,545.601
158,001_sd.pdf,1,545.601,394.239,9,CAAAAA+ArialMT,5,1,Vergiftungserscheinungen,0,545.601
159,001_sd.pdf,1,535.401,95.0,9,CAAAAA+ArialMT,4,17,Telefon,0,535.401
160,001_sd.pdf,1,535.401,120.596,9,CAAAAA+ArialMT,4,17,:,1,535.401
161,001_sd.pdf,1,535.401,124.691,9,CAAAAA+ArialMT,4,17,+49,0,535.401
162,001_sd.pdf,1,535.401,140.585,9,CAAAAA+ArialMT,4,17,-,1,535.401
163,001_sd.pdf,1,535.401,145.085,9,CAAAAA+ArialMT,4,17,9281-72850,0,535.401
164,001_sd.pdf,1,535.401,190.481,9,CAAAAA+ArialMT,4,17,(,1,535.401
165,001_sd.pdf,1,535.401,192.983,9,CAAAAA+ArialMT,4,17,8,0,535.401
166,001_sd.pdf,1,535.401,197.483,9,CAAAAA+ArialMT,4,17,:,1,535.401
167,001_sd.pdf,1,535.401,199.481,9,CAAAAA+ArialMT,4,17,30,0,535.401
168,001_sd.pdf,1,535.401,210.57799999999997,9,CAAAAA+ArialMT,4,17,–,1,535.401
169,001_sd.pdf,1,535.401,217.17499999999998,9,CAAAAA+ArialMT,4,17,16,0,535.401
170,001_sd.pdf,1,535.401,226.17499999999998,9,CAAAAA+ArialMT,4,17,:,1,535.401
171,001_sd.pdf,1,535.401,228.272,9,CAAAAA+ArialMT,4,17,30,0,535.401
172,001_sd.pdf,1,535.401,237.272,9,CAAAAA+ArialMT,4,17,),1,535.401
173,001_sd.pdf,1,535.401,316.2,9,CAAAAA+ArialMT,5,2,Telefon,0,535.401
