,doc,Page,word,label,chapter,label_dum,chapter,subchapter,date,version,directive,signal,usecase,chem,company,grid.area_11,grid.area_12,grid.area_13,grid.area_14,grid.area_15,grid.area_16,grid.area_17,grid.area_18,grid.area_21,grid.area_22,grid.area_23,grid.area_24,grid.area_25,grid.area_26,grid.area_27,grid.area_28,grid.area_31,grid.area_32,grid.area_33,grid.area_34,grid.area_35,grid.area_36,grid.area_37,grid.area_38,grid.area_41,grid.area_42,grid.area_43,grid.area_44,grid.area_45,grid.area_46,grid.area_47,grid.area_48,usecase_con,word.is.lower,word.is.upper,word.is.title,word.is.mixed.case,word.is.bold,word.is.digit,word.contains.digit,word.is.special.char,word.contains.special.char,word.len.1,word.len.3,word.len.5,word.len.7,word.len.9,word.len.11,word.len.13,word.is.stop,word.is.print.date.trigger,word.is.revision.date.trigger,word.is.oldversion.date.trigger,word.is.valid.date.trigger,grid.area,is.page.1,is.page.2,is.page.3,word.is.newline,ycord_average,Xcord_first
0,001_sd.pdf,1,Sicherheitsdatenblatt,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,1,767.868,58.3
1,001_sd.pdf,1,gemäß,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,1,0,0,1,767.868,204.74
2,001_sd.pdf,1,EU-Verordnung,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,1,0,0,0,767.868,253.68400000000003
3,001_sd.pdf,1,2015/830,directive,,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,38,1,0,0,0,767.868,360.28000000000014
4,001_sd.pdf,1,Seite,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,0,0,0,767.868,479.5
5,001_sd.pdf,1,1,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,767.868,504.8
6,001_sd.pdf,1,von,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,48,1,0,0,0,767.868,513.09
7,001_sd.pdf,1,6,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,0,767.868,531.8
8,001_sd.pdf,1,Ausstellungsdatum,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,1,748.0010000000002,64.4
9,001_sd.pdf,1,:,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,748.0010000000002,140.94500000000005
